          nEv  nVtx   nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.896695  0.707243       11          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.891712  1.376914        7          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.887011 -1.018534       11          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.881838  0.366626       19         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.880721  0.690009       10          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.878577 -0.146804        8          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.877387  2.302295       20         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.876727  1.732244       13          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.871506  0.249029       12          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.871000  0.960703        9          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.868510  0.481296        8          6        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.865511 -1.540307       24         17        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.865023 -1.864678       24         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.864373 -0.463112       21         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.863064 -1.989463       26         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.862432  1.367041       15         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.862379 -0.976153       10          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.848131  0.840051        9          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.846385  1.825087       23         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.845329  1.842979       24         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.840073 -0.409844       10          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.836326  1.190227       13         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.836144 -2.174374       15         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.832935 -1.787642       11          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.828763  2.003772       23         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.828474 -1.525309       28         17        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.826809 -0.450644       19         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.825259 -0.371233       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.824243 -0.718512       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.821694  1.492801       20         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.818990  2.381718       17         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.817799 -1.508078       19         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.813613  1.568033        6          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.811650 -0.914619       12          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.810259 -0.076302        9          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.807698  2.001172       17         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.804242 -1.022048        5          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.802457 -1.485196        6          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.802333 -1.142852       20         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.800148  1.645571       22         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.797042  1.763861       12          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.796220  1.868465       22         15        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.794774  0.263945       11          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.788378  0.942618       16          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.788184  2.099913       14         10        True
