         nEv  nVtx  nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.697708  0.882080       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.684770  0.446697       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.679458 -2.309677        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.675175 -0.553859       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.668242  2.518247        9          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.656550 -0.363049       15         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.650429 -0.754171       19         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.644318  0.474355       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.643604 -0.913549       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.640788 -0.032386       15         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.638209  1.057354       11          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.634208 -1.311599       10          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.633195  2.493090       12          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.629584  1.366433        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.623874 -2.352689       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.622118  1.656211       21         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.614729  2.350144       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.604083 -1.050749       14          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.596594  0.577594       18         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.596112 -0.248623       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.595092 -1.446531       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.594616  0.114553       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.589961 -0.204849       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.588164 -1.880245       25         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.586085 -1.970814       21         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.585954 -2.181118       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.584963 -0.267731        8          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.574155 -2.267025       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.574086 -0.016550       12          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.573457 -1.961979       21         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.570200 -2.624262        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.568434 -0.032433       13         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.568382  1.485686       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.557298  0.566123       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.555560 -0.077868       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.553709 -0.496246       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.552642  0.124458       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.544976  0.362181       14          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.542816 -1.059921       11          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.531782 -0.764468       20         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.530244 -0.918710       14         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.517476  0.648923        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.515760 -2.098476       23         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.510838  1.745145       25         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.507793  0.651114        9          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.501338 -1.290119       10          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.490521  0.664645       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.490166  2.305701        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.489277  2.492405       13          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.486583  2.122351        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.479447  2.556024        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.477984  1.194651        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.476666  0.255843       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.475525  0.734378       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.474638 -1.935826       28         16        True
